,drug,target,pathway
788,PFI-3_1530,PB1:|:Polybromo 1:|:SMARCA2:|:SMARCA4,Chromatin other
789,PFI3_1620,"Polybromo 1, SMARCA4, SMARCA2",Chromatin other
790,PHA-665752_6,MET,c-Met :|:RTK signaling
791,PHA-793887,CDK1:|:CDK2:|:CDK4:|:CDK5:|:CDK7:|:CDK9,CDK :|:Cell cycle:|: of cyclin-dependent kinases
792,PHA-793887_301,CDK1:|:CDK2:|:CDK4:|:CDK5:|:CDK7:|:CDK9,CDK :|:Cell cycle:|: of cyclin-dependent kinases
793,Phenformin_196,Biguanide agent:|:KCNJ8:|:PRKAA1,AMPK activator:|:Other
794,phloretin,SLC5A1,"inhibitor of protein kinase C activity (GO:0004697), inhibitor of glucose transmembrane transporter activity (GO:0005355)"
795,PI-103,CLK4:|:DAPK3:|:HIPK2:|:MTOR:|:PI3Kalpha:|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK3CG:|:PIM3:|:PRKDC,"of DNA-PK, PI3K p110 delta, mTORC1, and catalytic subunits of PI3K:|:mTOR , PI3K :|:mTOR |PI3K :|:Other, kinases"
796,PI-103_302,CLK4:|:DAPK3:|:HIPK2:|:MTOR:|:PI3Kalpha:|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK3CG:|:PIM3:|:PRKDC,"of DNA-PK, PI3K p110 delta, mTORC1, and catalytic subunits of PI3K:|:mTOR , PI3K :|:mTOR |PI3K :|:Other, kinases"
797,PI3Ka_4409_1446,"PI3KA, PI3KD",PI3K/MTOR signaling
798,Picolinici-acid_1635,NA,Inflammatory related
799,Pictilisib_1058,PI3K (class 1):|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK3CG,of PI3K kinase activity:|:PI3K :|:PI3K/MTOR signaling
800,Pictilisib_1058,PI3K (class 1):|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK3CG,of PI3K kinase activity:|:PI3K :|:PI3K/MTOR signaling
801,Pictilisib_1527,PI3K (class 1):|:PIK3CA:|:PIK3CB:|:PIK3CD:|:PIK3CG,of PI3K kinase activity:|:PI3K :|:PI3K/MTOR signaling
802,pifithrin-alpha,"TP53,AHR","inhibitor of transcription (GO:0006350), inhibitor of apoptotic process (GO:0006915),inhibitor of p53-dependent signaling"
